Name,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,lon,lat,magnitude
American Windmill Museum Wind Farm,Community Wind,American Wind Power Center,American Wind Power Center,American Windmill Museum,Lubbock TX,0.66,1,2005,Vestas,In Service,"33.5637°, -101.869°",-101.869,33.5637,8.60796137330809,-2.449978001726374
Anacacho Wind Farm,Commercial Scale Wind,E.On Climate & Renewables,E.On Climate & Renewables,Undisclosed PPA,"West of Uvalde, Texas",99,55,2012,Vestas,In Service,"29.192204°, -100.192095°",-100.192095,29.192204,2.768754222901097,3.0620506864582753
Anheuser-Busch Fairfield,Community Wind,Foundation Windpower,Foundation Windpower,Anheuser-Busch,Fairfield CA,1.5,1,2011,GE Energy,In Service,"38.2322979°, -122.0892727°",-122.0892727,38.2322979,1.8462123137639377,-1.3021689761057404
Antelope Ridge Wind Farm,Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,,Union County OR,300,164,,Undetermined,Proposed,"45.207914°, -117.914075°",-117.914075,45.207914,1.085034614573374,-1.4041325005434007
Apex Offshore Phase 1,Offshore Wind,Apex Wind Energy,Apex Offshore Wind / Outer Banks Ocean Energy Corp / Maersk Line Limited,,Atlantic Ocean NC,600,165,,,Proposed,"34.169°, -77.12°",-77.12,34.169,6.887996955292725,2.050676275847058
Apex Offshore Phase 2,Offshore Wind,Apex Wind Energy,Apex Offshore Wind / Outer Banks Ocean Energy Corp / Maersk Line Limited,,Atlantic Ocean NC,NaN,360,,,Proposed,"34.169°, -76.91°",-76.91,34.169,6.639774059277775,2.082283337131344
Appalachian State,Definition:Small Scale Wind,,,,Boone NC,0.1,1,2009,Northern Power Systems,In Service,"36.21342836°, -81.69232965°",-81.69232965,36.21342836,0.5161395122809523,0.950546807250901
Appanoose Elementary School Wind Project,Community Wind,,,,KS,0,1,,SkyStream,,"38.693932°, -95.459846°",-95.459846,38.693932,4.440416656288439,-2.2589026144732895
Applied Materials Wind Turbine,Community Wind,Applied Materials,Applied Materials,Applied Materials,Gloucester MA,2.5,1,2012,Kenersys,In Service,"42.62895426°, -70.65153122°",-70.65153122,42.62895426,3.9978244178681996,0.06257484042751137
Aragonne Mesa Wind Farm,Commercial Scale Wind,GE Energy,Babcock & Brown,Arizona Public Service,Guadalupe County NM,90,90,2006,Mitsubishi,In Service,"34.796889°, -105.054188°",-105.054188,34.796889,7.863040380760154,-2.354395932754454
Archbold Local Schools Wind Turbine,Community Wind,Archbold Area Local Schools District,Archbold Area Local Schools District,Archbold Area Local Schools District,Archbold OH,0.75,1,2012,Aeronautica,In Service,"41.51543828°, -84.31605577°",-84.31605577,41.51543828,3.4800143868591973,0.002873555229097839
Arends Brothers,Definition:Small Scale Wind,,,,Ashmore IL,0.1,1,2009,Northern Power Systems,In Service,"39.53129531°, -88.02976191°",-88.02976191,39.53129531,1.9641283255678637,-2.6483409411238252
Armenia Mountain Wind Energy Project,Commercial Scale Wind,AES Armenia Mountain Wind,AES,Old Dominion Electric,Tioga and Bradford Counties PA,101,67,2010,GE Energy,In Service,"41.763272°, -76.842613°",-76.842613,41.763272,2.178921854050147,0.1892949162907897
Arnold Wind Farm,Community Wind,,David Arnold,,Wilmont MN,1.65,1,2005,Vestas,In Service,"43.762°, -95.8274°",-95.8274,43.762,2.361906034271267,-2.3681699897350326
Ashtabula - NextEra Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,Northeastern Barnes County- ND ND,148.5,99,2008,GE Energy,In Service,"47.123021°, -97.895°",-97.895,47.123021,2.3312228588129966,-2.8768454882757224
Ashtabula - Otter Tail Wind Farm,Commercial Scale Wind,Otter Tail Power Co.,NextEra Energy Resources,Otter Tail Power Co.,Northeastern Barnes County- ND ND,48,32,2008,GE Energy,In Service,"47.123021°, -97.895°",-97.895,47.123021,2.3312228588129966,-2.8768454882757224
Ashtabula II Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Minnkota Power Cooperative,Griggs & Steele Counties ND,120,80,2009,GE Energy,In Service,"47.133005°, -97.950597°",-97.950597,47.133005,2.233786091099344,-2.902042839325462
Ashtabula III,Commercial Scale Wind,,NextEra Energy Resources,,Barnes County ND,62.4,39,2010,GE Energy,In Service,"47.135175°, -97.935219°",-97.935219,47.135175,2.233786091099344,-2.902042839325462
Auburn-Washburn Wind Project,Community Wind,Auburn-Washburn School District,,,KS,0.0021,1,,SkyStream,,"38.95692°, -95.758223°",-95.758223,38.95692,3.9038698601743396,-2.3743084335953144
Aurora Wal Mart Wind Farm,Definition:Small Scale Wind,Aurora Wal Mart,Aurora Wal Mart,Aurora Wal Mart,Aurora CO,0.05,1,2005,Bergey Windpower,In Service,"39.760714°, -104.773079°",-104.773079,39.760714,1.0066280541010681,-1.3402744880456394
Auwahi Wind,Commercial Scale Wind,BP Wind Energy / Sempra Energy,Sempra Generation,Maui Electric Co,Maui HI,24,8,2012,Siemens,In Service,"20.596379°, -156.318304°",-156.318304,20.596379,12.566005501724527,-3.0315505990076335
Avery County High School Wind Project,Community Wind,,,,NC,0,1,,SkyStream,,"36.068371°, -81.918159°",-81.918159,36.068371,0.3140063718345553,-0.15991312429167473
BLM-JCI,Definition:Small Scale Wind,BLM-JCI,,BLM-JCI,Rawlins WY,0.1,1,2010,Northern Power Systems,In Service,"41.79754379°, -107.2415829°",-107.2415829,41.79754379,5.299603880321495,-2.8879185550318036
Baileyville Wind Project,Commercial Scale Wind,Apex Wind Energy,Apex Wind Energy,,Ogle County IL,80,40,,Gamesa,Under Construction,"41.9227°, -89.3006°",-89.3006,41.9227,2.102974052170262,-0.4317435490981646
Baldwin Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Basin Electric,Burleigh County near Wilton ND,102.4,64,2010,GE Energy,In Service,"47.059561°, -100.776°",-100.776,47.059561,1.3787313244575932,1.775304139587979
Bancroft-Rosalie Public Schools Wind Project,Community Wind,,,,NE,0,1,,SkyStream,,"42.008919°, -96.570847°",-96.570847,42.008919,2.295386570139807,-0.39345065512432437
Banner Wind Project,Commercial Scale Wind,Bering Straits Native Corporation and Sitnasuak Native Corporation,Western Community Energy,Nome Joint Utilities,Nome AK,0.9,18,2008,Entegrity,In Service,"64.507553°, -165.419189°",-165.419189,64.507553,4.143150904435359,-2.2998439665633446
Bartlett's Ocean View Wind Farm,Community Wind,Bartlett's Ocean View Wind Farm,,Bartlett's Ocean View Wind Farm,Nantucket MA,0.25,1,2009,Wind Energy Solutions,In Service,"41.259168°, -70.131913°",-70.131913,41.259168,6.490061446605805,0.11116769329373145
Barton Chapel Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,,Jack County TX,120,60,2009,Gamesa,In Service,"33.073442°, -98.30084°",-98.30084,33.073442,4.324777400490038,-2.7898583964204793
Barton Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,NIPSCO,Worth County IA,160,80,2009,Gamesa,In Service,"43.365893°, -93.095412°",-93.095412,43.365893,3.9024735539412068,-2.8903990211620396
Baseline Wind Energy Facility,Commercial Scale Wind,First Wind,First Wind,,Gilliam County OR,500,250,,Undetermined,Proposed,"45.626863°, -120.162885°",-120.162885,45.626863,3.0878146598722678,0.5637486120463842
Bayonne Wind Energy Project,Community Wind,Bayonne Municipal Utility Authority,Bayonne Municipal Utility Authority,,Bayonne NJ,1.5,1,2012,Leitner-Poma,In Service,"40.65277771°, -74.11774993°",-74.11774993,40.65277771,2.7923466672268944,0.6277430987770994
Bayshore Regional Sewerage Authority (BRSA),Community Wind,Bayshore Regional Sewerage Authority (BRSA),Bayshore Regional Sewerage Authority (BRSA),Bayshore Regional Sewerage Authority (BRSA),Union Beach NJ,1.5,1,,GE Energy,Proposed,"40.4497613°, -74.1764619°",-74.1764619,40.4497613,3.5819828194941588,0.7380028533596671
Bear Creek Wind Farm,Commercial Scale Wind,Babcock & Brown owns majority,CEI Iberdrola,PPL Corp.,Near Bear Creek Village PA,24,12,2006,Gamesa,In Service,"41.1801°, -75.7216°",-75.7216,41.1801,1.6183016194270352,0.21799869535607944
Beaulieu Wind Farm,Definition:Small Scale Wind,Private owner,Private owner,Maine Public Power,Aroostook County ME,0.05,1,1999,Atlantic Orient Co.,In Service,"46.551388°, -67.808333°",-67.808333,46.551388,4.005858299590758,-0.6739611974569226
Beebe Community Wind,Commercial Scale Wind,Exelon Wind,Nordex,Consumers Energy,Ithaca MI,81.6,34,2012,Nordex,In Service,"43.3061272°, -84.5722881°",-84.5722881,43.3061272,3.981205837298253,-2.6554769105879763
Beech Ridge Energy Wind Farm,Commercial Scale Wind,Invenergy,Invenergy,AEP-Appalachian Power,Greenbrier County WV,84,56,,GE Energy,Under Construction,"38.06692°, -80.498571°",-80.498571,38.06692,0.3417601421737666,-2.782821983319221
Begich Middle School Wind Project,Community Wind,Anchorage School District,,Anchorage School District,AK,0.0021,1,2012,Skystream,In Service,"61.20806°, -149.7431678°",-149.7431678,61.20806,3.6135438935108146,2.1050460182631707
Bellevue High School,Definition:Small Scale Wind,Bellevue High School,,Bellevue High School,Bellevue WA,0.1,1,2010,Northern Power Systems,In Service,"41.28241024°, -82.84591019°",-82.84591019,41.28241024,2.5503333244693525,0.7243629822837458
Bennett Creek,Commercial Scale Wind,Idaho Windfarms / John Deere,Idaho Windfarms,,Elmore County ID,21,10,2009,Suzlon Energy Company,In Service,"43.0466399°, -115.485481°",-115.485481,43.0466399,0.7117583607978821,-1.151145461718387
Bent Tree Wind Farm,Commercial Scale Wind,Wisconsin Power and Light Co.,Wisconsin Power and Light Co.,,4 miles North of Albert Lea MN,201.3,122,2011,Vestas,In Service,"43.78544°, -93.452282°",-93.452282,43.78544,3.4869471077472545,-3.0784582808960104
Bergey Windpower Headquarters Wind Farm,Definition:Small Scale Wind,Bergey Windpower,Bergey Windpower,Bergey Windpower,Norman OK,0.05,1,2005,Bergey Windpower 50-kW,In Service,"35.243076°, -97.456799°",-97.456799,35.243076,5.116756819565563,-0.9100959551316665
Berkshire East Ski Area,Community Wind,Sustainable Energy Development,,Berkshire East Ski Area,Charlemont MA,0.9,1,2010,PowerWind,In Service,"42.61621237°, -72.86660671°",-72.86660671,42.61621237,5.163729263001771,-0.2524937798757948
Berkshire Wind Farm,Commercial Scale Wind,,Berkshire Wind Power LLC with DisGen and MTC,Consortium of municipal utilities,Brodie Mountain MA,15,10,2011,,In Service,"42.636188°, -73.244491°",-73.244491,42.636188,4.2308036673372795,-0.28511775195541444
Big Blue Wind Farm,Commercial Scale Wind,Exergy,Exergy,Xcel Energy,Blue Earth MN,36,18,2012,Gamesa,In Service,"43.64324946°, -94.22179699°",-94.22179699,43.64324946,3.9431206754889603,3.0118901216474954
Big Horn 2,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,MSR Public Power Agency,Near Bickleton WA,50,33,2010,GE Energy,In Service,"45.871889°, -120.292354°",-120.292354,45.871889,2.4956162306710103,-0.5246132393681429
Big Horn Wind Power Project,Commercial Scale Wind,Iberdrola Renewables,PPM Energy Inc,Modesto-Santa Clara-Redding Public Power Agency,Klickitat County WA,199.5,133,2006,GE Energy,In Service,"45.935948°, -120.284085°",-120.284085,45.935948,1.9807069959246464,-0.756834490973539
Big Sky Wind Facility,Commercial Scale Wind,Edison Mission Energy,Edison Mission Energy,PJM Market,Bureau County IL,239.4,132,2011,Suzlon Energy Company,In Service,"41.579967°, -89.46177°",-89.46177,41.579967,1.4700000286102295,0
Big Smile Wind Farm (Dempsey Ridge),Commercial Scale Wind,Acciona,Acciona,,Roger Mills County OK,132,66,2012,Acciona,In Service,"35.508363°, -99.739494°",-99.739494,35.508363,6.056219778955919,-1.7753161272850488
Big Spring I Wind Farm,Commercial Scale Wind,Caithness,York Research,TXU Electric & Gas,Howard County TX,27.72,42,1999,Vestas,In Service,"32.146715°, -101.398244°",-101.398244,32.146715,1.9859506448450264,2.5424173245583908
Big Spring II Wind Farm,Commercial Scale Wind,Caithness,York Research,TXU Electric & Gas,Howard County TX,6.6,4,1999,Vestas,In Service,"32.146715°, -101.398244°",-101.398244,32.146715,1.9859506448450264,2.5424173245583908
Big Wind Power Project (Lanai),Commercial Scale Wind,,,,Lanai Island HI,400,170,,Undetermined,Proposed,"20.828844°, -156.928825°",-156.928825,20.828844,2.2000000238418584,-2.214297457262597
Big Windy (Great Escape Restaurant Turbine),Community Wind,Great Escape Restaurant,,,Schiller Park IL,1,0.108,2009,Micon,In Service,"41.95547°, -87.865193°",-87.865193,41.95547,2.9642031704708045,-1.7437096769469966
Biglow Canyon Phase II Wind Farm,Commercial Scale Wind,Portland General Electric,Orion Energy Group,Portland General Electric,Sherman County OR,149.5,65,2009,Siemens,In Service,"45.6375°, -120.605278°",-120.605278,45.6375,2.077811282624124,0.08673834488868541
Biglow Canyon Phase III Wind Farm,Commercial Scale Wind,Portland General Electric,Orion Energy Group,Portland General Electric,Sherman County OR,174.8,76,2009,Siemens,In Service,"45.6375°, -120.605278°",-120.605278,45.6375,2.077811282624124,0.08673834488868541
Biglow Canyon Wind Farm,Commercial Scale Wind,Portland General Electric,Orion/Portland General Electric,Portland General Electric,Sherman County OR,125.4,76,2007,Vestas,In Service,"45.629003°, -120.605607°",-120.605607,45.629003,2.077811282624124,0.08673834488868541
Bingham Lake Wind Farm,Commercial Scale Wind,Edison Mission Group owns majority,Edison Mission Group,Alliant Energy,Bingham Lake MN,15,12,2006,Suzlon Energy Company,In Service,"43.909°, -95.0464°",-95.0464,43.909,2.4990398761144506,2.923791759617508
Bishop Hill I,Commercial Scale Wind,Ivenergy,Ivenergy,Tennessee Valley Authority,Altona IL,209,0,2012,GE Energy,In Service,"41.15978766°, -90.10059357°",-90.10059357,41.15978766,1.1328283238377825,1.4201604175687832
Bishop Hill II,Commercial Scale Wind,MidAmerican Energy,Ivenergy,Ameren Illinois,Cambridge IL,80,50,2012,GE Energy,In Service,"41.24438513°, -90.09338379°",-90.09338379,41.24438513,1.0800462906683306,0.6342421008459426
Bison Wind 1B,Commercial Scale Wind,Minnesota Power,Minnesota Power,Minnesota Power,McIntosh ND,45,15,2012,Siemens,In Service,"46°, -101.5°",-101.5,46,1.7098830920405197,1.7234456445890691
Bison Wind 2,Commercial Scale Wind,Minnesota Power,Minnesota Power,Minnesota Power,New Salem ND,105,35,2012,Siemens,In Service,"46.96338499°, -101.5030289°",-101.5030289,46.96338499,1.9556328648317314,1.1437456356651288
Bison Wind 2A,Commercial Scale Wind,,Minnesota Windpower,Minnesota Windpower,Northwest of New Salem ND,37.95,15,2012,Siemens,In Service,"46.9815°, -101.507421°",-101.507421,46.9815,1.9948934440073292,1.1250839973914084
Bison Wind 3,Commercial Scale Wind,Minnesota Power,Minnesota Power,Minnesota Power,New Salem ND,105,35,2012,Siemens,In Service,"46.93924603°, -101.5126419°",-101.5126419,46.93924603,1.9556328648317314,1.1437456356651288
Bison Wind Farm 1A,Commercial Scale Wind,Minnesota Power,Minnesota Windpower,Minnesota Windpower,Northwest of New Salem ND,75.9,33,2011,Siemens,In Service,"46.9815°, -101.507421°",-101.507421,46.9815,1.9948934440073292,1.1250839973914084
Bitworks Wind Farm,Definition:Small Scale Wind,Bitworks Inc.,Bitworks Inc.,Bitworks Inc.,Washington County AR,0.1,1,2003,NEG Micon,In Service,"35.976663°, -94.316975°",-94.316975,35.976663,2.752780490662729,1.81665604609728
Blackfeet Nation Wind Farm,Definition:Small Scale Wind,,,,Blackfeet Reservation MT,0.1,1,1996,Vestas,In Service,"48.554858°, -113.010503°",-113.010503,48.554858,3.180251575421301,0.5199261584905176
Blackwell,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Oklahoma State University via Oklahoma Gas & Electric,Nardin OK,59.8,26,2012,Siemens,In Service,"36.85261694°, -97.43310928°",-97.43310928,36.85261694,5.250238089846451,-1.5803198485304124
Block Island Wind Farm,Commercial Scale Wind,,Deepwater Wind,,Offshore from Block Island RI,20,8,,Undetermined,Proposed,"41.1°, -71.53°",-71.53,41.1,7.261294737560001,0.3078141775653139
Bloomfield Public Schools Wind Project,Community Wind,,,,NE,0,1,,SkyStream,,"42.594536°, -97.642433°",-97.642433,42.594536,1.8206867360971537,-1.5982619454771758
Blue Breezes I & II Wind Farm,Community Wind,John Deere Wind Energy,Dan Moore/John Deere Wind Energy,City of Blue Earth,City of Blue Earth MN,2.5,2,2006,Suzlon Energy Company,In Service,"43.6352°, -94.0942°",-94.0942,43.6352,4.1790547838412975,3.0047716948568635
Blue Canyon II Wind Farm,Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,American Electric Power,North of Lawton OK,151.2,84,2005,Vestas,In Service,"34.8582°, -98.54752°",-98.54752,34.8582,4.203046366515483,-1.4275533671862446
Blue Canyon V Wind Farm,Commercial Scale Wind,Horizon-EDPR,Horizon-EDPR,Public Service of Oklahoma,Caddo & Comanche Counties OK,99,66,2009,GE Energy,In Service,"34.8582°, -98.54752°",-98.54752,34.8582,4.203046366515483,-1.4275533671862446
Blue Canyon VI,Commercial Scale Wind,EDP Renewables North America LLC,EDP Renewables North America LLC,Merchant,Lawton OK,99,55,2011,Vestas,In Service,"34.8582°, -98.54752°",-98.54752,34.8582,4.203046366515483,-1.4275533671862446
Blue Canyon Wind Farm,Commercial Scale Wind,Babcock & Brown/Horizon,Zilkha Renewable/Kirmart Corp.,Western Farmers' Electric Cooperative,North of Lawton OK,74.25,45,2003,NEG Micon,In Service,"34.852678°, -98.551807°",-98.551807,34.852678,4.203046366515483,-1.4275533671862446
Blue Creek Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,First Energy Solutions,Van Wert County OH,304,152,2012,Gamesa,In Service,"41.018286°, -84.615355°",-84.615355,41.018286,2.377750933132486,0.12226840583678508
Blue Sky Green Field Wind Farm,Commercial Scale Wind,We Energies,We Energies,We Energies,Fond du Lac County WI,145.2,88,2008,Vestas,In Service,"43.908549°, -88.305384°",-88.305384,43.908549,3.4620803715066573,-2.13796860195185
Blue Summit,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Undisclosed PPA,Vernon TX,135.4,80,2012,GE Energy,In Service,"34.304837°, -99.376873°",-99.376873,34.304837,3.340538900323873,-2.3138469313437757
Bluegrass Ridge Wind Energy Project,Commercial Scale Wind,,Wind Capital Group/John Deere Capital,Associated Electric Cooperative,Gentry county MO,56.7,27,2007,Suzlon Energy Company,In Service,"40.092392°, -94.51429°",-94.51429,40.092392,1.9241621739646355,-2.3267912303224403
Bluewater Wind New Jersey,Commercial Scale Wind,,NRG Bluewater Wind,,Offshore from Atlantic Beach NJ,348,116,,Undetermined,Proposed,"39.18°, -74.14°",-74.14,39.18,5.541525263748609,0.9507566361471854
Bluewater Wind Rhode Island,Offshore Wind,NRG Bluewater Wind,NRG Bluewater Wind,,Atlantic Ocean RI,450,0,,,Proposed,"41.357°, -71.152°",-71.152,41.357,5.52123178329209,0.14906906047141066
Bobcat Bluff,Commercial Scale Wind,EDF Renewable Energy,Element Power,Merchant (ERCOT),Windthorst TX,150,100,2012,GE Energy,In Service,"33.503556°, -98.578718°",-98.578718,33.503556,3.59200502606669,-2.891212292604632
